1,갑,甲,대림목 (大林木),곧고 바른,양,木,#3c3,씨앗의 겁질을 쪼개어 터트린다,甲甲 부모대에 또는 본인대에 파가 또는 조실부모한다.,運福自來 名振四海,운수와 복이 스스로 오니 이름을 사방에 떨치니라
2,을,乙,화초목 (花草木),작은화초,음,木,#3c3,만물이 처음으로 나올때 싹이 꼬부라져 아직 퍼지지 않은 상태,乙乙 인덕이 없고 외로우며 고독하다.,天人拱助 萬事如意,천인이 도와주니 만사가 여의 하도다
3,병,丙,태양화 (太陽火),태양같은 큰불,양,火,#f00,만물이 확연하게 드러남,丙丙 광역 역마 일찍 고향을 떠난다.,家運昌吉 每重順成,집운이 매우 좋으니 모든일이 순조롭도다
4,정,丁,등촉화 (燈燭火),작은등불,음,火,#f00,만물이 튼튼하게 알차게 형체를 이룸,丁丁 인덕이 없다. 외롭고 고독하다.,乘龍乘虎 變化無窮,용을 타고 범을 타니 조화가 무궁하도다
5,무,戊,성원토 (城園土),넓은대지의 흙,양,土,#fc6,만물이 무성하게 번성하는 단계,戊戊 해외 역마로 유학 무역 외교 이민 등이 좋다.,虎氣來侵 眷屬不和,범이 와서 침노하니 권속들이 불화하도다
6,기,己,전원토 (田園土),작은정원의 흙,음,土,#fc6,만물의 형체가 갖추어진 상태,己己 지역 역마 작은 역마 한곳에 정착한다.,欲進不達 心神不安,욕망이 달하지 못하고 마음이 불안하도다
7,경,庚,강철금 (鋼鐵金),단단하고 큰쇳덩어리,양,金,#fff,만물을 수렴하여 결실을 맺게 함,庚庚 국내 역마로 활동적인 직업이 좋다.,春和紅色 貴人來會,봄날이 화창하니 붉은빛이요 귀인이 와서 만나도다
8,신,辛,주옥금 (珠玉金),금은보석같은 쇠,음,金,#fff,만물이 채워지는 것을 억제,辛辛 어려운 일이나 비참한 일을 겪는다.,六親無德 食少事煩,육친이 덕이 없으니 먹을 것은 적고 일은 분주하다
9,임,壬,강호수 (江湖水),바다 강 호수같은 큰물,양,水,#666,아이를 밴다.,壬壬 도화살 또는 인기살이 있어서 인기를 얻는 직업이 좋다.,敗家流浪 門前乞食,패가하고 유랑하니 문전걸식을 하더라
0,계,癸,우로수 (雨露水),이슬비 시냇물 같은 작은물,음,水,#666,만물을 평정하여 헤아려볼 수 있는 기준이 되게 함.,癸癸 도화살 또는 인기살이 있어서 인기를 얻는 직업이 좋다.,瑞氣滿庭 家道興旺,서기가 집안에 가득하다 집안이 흥왕하여 지도다
