00001,家,가,집 가,,,10,10,12,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00002,佳,가,아름다울 가,,,8,8,8,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00003,街,가,거리 가,,,12,12,13,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00004,可,가,옳을 가,,불용문자,5,5,7,목,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00005,歌,가,노래 가,,,14,14,19,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00006,加,가,더할 가,,,5,5,8,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00007,價,가,값 가,,,15,15,17,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00008,假,가,거짓 가,,좋지않은 의미 문자,11,11,14,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00009,架,가,시렁 가,,,9,9,12,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00010,暇,가,겨를 가,,,13,13,17,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00011,嘉,가,경사 아름다울 가,,,14,14,18,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00012,嫁,가,시집갈 가,,,13,13,16,목,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00013,稼,가,심을 가,,,15,15,17,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00014,賈,가,값 가,,,13,13,15,목,금,종파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00015,駕,가,멍에 가,,좋지않은 의미 문자,15,15,20,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00016,伽,가,절 가,,좋지않은 의미 문자,7,7,10,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00017,迦,가,막을 가,,좋지않은 의미 문자,12,9,15,목,토,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00018,柯,가,가지 가,,,9,9,11,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00019,呵,가,꾸짖을 가,,좋지않은 의미 문자,8,8,11,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00020,哥,가,성씨 가,,,10,10,14,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00021,枷,가,칼 가,,좋지않은 의미 문자,9,9,12,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00022,珂,가,마노(흰옥돌) 가,,,10,9,11,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00023,痂,가,딱지 가,,좋지않은 의미 문자,10,10,13,목,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00024,苛,가,가혹할 가,,좋지않은 의미 문자,11,9,11,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00025,茄,가,연줄기 가,,,11,9,12,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00026,袈,가,가사 가,,좋지않은 의미 문자,11,11,15,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00027,訶,가,꾸짖을 가,,좋지않은 의미 문자,12,12,15,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00028,跏,가,책상다리할 가,,,12,12,16,목,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00029,軻,가,수레 가,,,12,12,15,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00030,哿,가,옳을 가,,,10,10,15,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00031,嘏,가,클 가,,,14,14,18,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00032,舸,가,배(선박) 가,,,11,11,15,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00033,珈,가,머리꾸미개 가,,,10,9,12,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00034,各,각,각각 각,,,6,6,8,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00035,角,각,뿔 각,,,7,7,10,목,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00036,脚,각,다리 각,,좋지않은 의미 문자,13,11,16,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00037,閣,각,집 각,,,14,14,19,목,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00038,却,각,물리칠 각,,,7,7,10,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00039,覺,각,깨달을 각,,,20,20,25,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00040,刻,각,새길 각,,,8,8,10,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00041,珏,각,쌍옥 각,,,10,9,9,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00042,恪,각,정성 각,,,10,9,11,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00043,殼,각,껍질 각,,좋지않은 의미 문자,12,12,19,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00044,愨,각,성실할 각,,,14,14,21,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00045,慤,각,성실할 각,,,15,15,24,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00046,干,간,방패 간,,,3,3,3,목화,목,분파무 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00047,間,간,사이 간,,,12,12,16,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00048,看,간,볼 간,,,9,9,10,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00049,刊,간,책펴낼 간,,,5,5,6,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00050,肝,간,간 간,,,9,7,9,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00051,幹,간,줄기 간,,,13,13,14,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00052,簡,간,편지 간,,,18,18,22,목화,목,종파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00053,姦,간,간사할 간,,좋지않은 의미 문자,9,9,12,목화,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00054,懇,간,간절할 간,,,17,17,22,목화,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00055,艮,간,간방 간,,,6,6,8,목화,토,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00056,侃,간,강직할 간,,,8,8,11,목화,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00057,杆,간,줄기 간,,,7,7,7,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
