00001,家,가,집 가,집 가족 집안 문벌 지체 조정,,10,10,12,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,宀(갓머리변)   roof  house ,3,3,4,목
00002,佳,가,아름다울 가,아름답다 좋다 좋아하다 크다 크게,,8,8,8,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,亻(사람인변)   person 원문자:人  ,2,2,2,화
00003,街,가,거리 가,거리 네거리 한길( 넓은 길),,12,12,13,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,行(갈행)   go  walk ,6,6,7,화
00004,可,가,옳을 가,옳다. 허락하다. 들어주다. ,불용문자,5,5,7,목,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,口(입구변)   mouth ,3,3,4,수
00005,歌,가,노래 가,노래 악기이름 노래하다,,14,14,19,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,欠(하품흠)   yawn  defect ,4,4,5,화
00006,加,가,더할 가,더하다 가입하다 베풀다,,5,5,8,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,力(힘력변)   power  strength ,2,2,4,토
00007,價,가,값 가,값 값어치 명성 값있다,,15,15,17,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,亻(사람인변)   person 원문자:人  ,2,2,2,화
00008,假,가,거짓 가,거짓 가짜 임시 일시 틈 빌리다 용서하다 ,좋지않은 의미 문자,11,11,14,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,亻(사람인변)   person 원문자:人  ,2,2,2,화
00009,架,가,시렁 가,시렁(긴 나무로 선반처럼 만든 것) 횃대 건너지르다,,9,9,12,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00010,暇,가,겨를 가,틈 겨를 한가하다,,13,13,17,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,日(날일)   sun  day ,4,4,5,화
00011,嘉,가,경사 아름다울 가,아름답다 기리다 경사스럽다,,14,14,18,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,口(입구변)   mouth ,3,3,4,수
00012,嫁,가,시집갈 가,시집보내다 떠넘기다 가다,,13,13,16,목,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,女(계집녀변)   woman  lady ,3,3,4,토
