목목목,木木木,(종격사주 길/일반사주 흉),두뇌가 총명하고 참을성이 있어 성공 운이 순조롭다. 바라는 일들이 성공하고 발전하며 뜻대로 이루어지는 운이다. 가정이 화목하고 자녀의 덕이 있으니 행복한 가정을 갖겠다. 심신이 건강하여 장수의 복(福)을 누린다. 안팎으로 행복을 누리겠다.
목목화,木木火,(길),마음이 침착하고 세심하다. 머리 또한 총명하여 하는 일마다 성공하고 발전한다. 이름을 널리 알려 많은 이들이 우러러보고 따르게 한다. 부귀영화(富貴榮華)를 자손에게까지 이어지게 한다. 형제간에 우애가 있다. 가정이 화목하고 안락하다. 남녀 모두 연인 운 부부 운이 매우 좋다.
목목토,木木土,(길),마음이 강하고 자립성이 강하다. 하고자 하는 일이 바라는 대로 순조롭다. 사회의 신용과 덕망 속에 성공 발전하게 된다. 주위의 사람과 좋은 인간관계를 가진다. 부러워 할 것이 없는 만사형통(萬事亨通)의 운을 가졌다. 가정적이며 부모의 운세도 평탄하다. 자녀 또한 복(福)이 많으니 가정이 화목하다.
목목금,木木金,(흉),마음은 온순하고 정직하다. 의리를 중요시 여기고 남에게 친절을 베푼다. 그러나 성공 운이 적다. 어느 정도의 성공을 하더라도 생각지 못한 화를 당하게 된다. 어떤 일을 하더라도 안정된 생활을 하지 못한다. 인덕(人德)이 없어 다른 사람들에게 피해를 당하며 구설수가 많고 평안한 생활이 없다. 가정 운도 좋지 못하니 부부간에 불화가 계속되고 자녀 운도 없어 생 이별수가 있다. 자녀의 효가 없다. 어려운 생활에 건강까지 염려된다. 폐 기관지 간장 신경성 질환에 유의해야 한다
목목수,木木水,(길),착실하고 이해력이 풍부하다. 어떤 일이든 매사 열성적으로 노력을 아끼지 않는다. 가정은 원만하고 자녀가 효도 한다. 운기가 좋아 주위의 도움으로 지속적이지는 못하지만 일시적으로 성공하고 발전한다. 모든 일이 대길할 운이 있다. 그러나 너무 자만심에 빠지지 말아야겠다. 불화가 생길 위험이 있다. 병환도 염려되니 건강에 유의해야겠다.
목화목,木火木,(길),인덕(人德)이 많다. 윗사람과 아랫사람에게 도움을 받고 존경도 받으니 순조롭게 성공한다. 지위와 재산이 늘어나게 된다. 모든 일이 형통(亨通)하는 대길(大吉)할 운이다. 가정 운도 좋으니 부부가 화목하고 자녀 또한 효성이 지극하다. 이름을 널리 떨치게 되어 만인의 부러움을 사게 된다. 몸도 건강하여 장수의 복도 있다. 가정까지 평안하니 행복을 누리게 될 운이다.
목화화,木火火,(흉),성격이 급하고 인내력이 부족하다. 그러나 진취성이 있고 윗사람의 도움으로 성공할 수 있다. 단 지나친 욕심은 버려야 한다. 인내심이 부족하여 실패수가 많고 곤경에 빠지기 쉬우며 가정에 불화가 생길 수 있다. 그러나 조심하면 행복한 생활을 누리게 된다. 길(吉)과 흉(凶)이 반반이다. 부부간에 애정이 있고 자녀도 행복하니 가정이 원만하다. 심장과 신경계 질환에 주의해야 한다.
목화토,木火土,(길),마음이 여리고 감수성이 강하다. 의리가 있고 친절하며 사교성이 풍부하여 대인 관계가 원만하다. 부모와 윗사람의 도움으로 순조롭게 성공한다. 하려는 일이 크게 성공하여 이름을 널리 알리게 된다. 부부 운이 좋으며 자녀 복 또한 있으니 자녀가 효도 한다. 안팎으로 활기가 충만하고 대길(大吉)할 운이다. 심신이 건강하여 장수한다. 대복(大福)을 누리게 된다.
목화금,木火金,(흉),기량이 뛰어 나고 머리 회전이 빠른 특성을 갖고 있다. 그러나 변화가 심하여 안정이 없다. 기초가 불안하여 일시적인 성공은 있으나 내적으로 항상 불안하다. 노력을 하지만 대가가 없고 실패만 거듭 된다. 가정 또한 불화가 심하다. 이별수가 있고 자녀가 불행하며 아랫사람과도 좋지 못하다. 건강도 좋지 않으니 신경계통 호흡기병 뇌병(腦病)을 조심해야 한다. 운전하는 사람은 교통 사고를 항상 조심 해야겠다.
목화수,木火水,(흉),성격이 까다롭고 대인 관계가 원만치 못하다. 성공을 하더라도 일시적인 성공뿐이다. 성공이 지속되지 못하며 금전적 정신적으로 막힘이 많다. 기초 운이 좋지 않다. 윗사람의 혜택은 있지만 끝이 좋지 못하다. 학생의 경우 학업에 열중하지 않는 운이다. 건강 운도 나쁜 운이다. 심장병 동맥경화증 급성 관절염 등을 조심 해야겠다. 생각지 못한 재화로 어려움이 많을 운이다.
